date,close,volume,open,high,low,symbol
2020-07-02,206.26,29315760,205.68,208.02,205.0,MSFT
2020-07-01,204.7,32061210,203.14,206.35,201.77,MSFT
2020-06-30,203.51,34310280,197.882,204.4,197.74,MSFT
2020-06-29,198.44,26701590,195.78,198.53,193.55,MSFT
2020-06-26,196.33,54675780,199.73,199.89,194.88,MSFT
2020-06-25,200.34,27803930,197.8,200.61,195.4675,MSFT
2020-06-24,197.84,36740650,201.604,203.25,196.56,MSFT
2020-06-23,201.91,30917450,202.09,203.95,201.425,MSFT
2020-06-22,200.57,32818930,195.79,200.76,195.2301,MSFT
2020-06-19,195.15,44441140,198.59,199.29,194.37,MSFT
2020-06-18,196.32,23061650,194.0,196.49,194.0,MSFT
2020-06-17,194.24,25687820,195.03,196.32,193.69,MSFT
2020-06-16,193.57,42556660,192.89,195.58,191.46,MSFT
2020-06-15,188.94,32770190,184.58,190.82,184.01,MSFT
2020-06-12,187.74,43373590,190.54,191.72,185.18,MSFT
2020-06-11,186.27,52854670,193.13,195.76,186.07,MSFT
2020-06-10,196.84,43872330,191.125,198.52,191.01,MSFT
2020-06-09,189.8,29783920,188.0,190.7,187.2605,MSFT
2020-06-08,188.36,33211590,185.94,188.55,184.44,MSFT
2020-06-05,187.2,39893640,182.62,187.73,182.01,MSFT
2020-06-04,182.92,28761810,184.3,185.84,182.3,MSFT
2020-06-03,185.36,27311020,184.815,185.94,183.58,MSFT
2020-06-02,184.91,30794590,184.25,185.0,181.35,MSFT
2020-06-01,182.83,22668820,182.54,183.0,181.46,MSFT
2020-05-29,183.25,42146720,182.73,184.27,180.41,MSFT
2020-05-28,181.4,33831820,180.74,184.1474,180.38,MSFT
2020-05-27,181.81,39517150,180.2,181.9877,176.6,MSFT
2020-05-26,181.57,36073610,186.34,186.5,181.1,MSFT
2020-05-22,183.51,20826900,183.19,184.46,182.54,MSFT
2020-05-21,183.43,29119510,185.4,186.67,183.29,MSFT
2020-05-20,185.66,31261330,184.81,185.85,183.94,MSFT
2020-05-19,183.63,26799120,185.03,186.6,183.49,MSFT
2020-05-18,184.91,35306620,185.75,186.2,183.96,MSFT
2020-05-15,183.16,46610380,179.06,187.06,177.0,MSFT
2020-05-14,180.53,41873910,177.54,180.69,175.68,MSFT
2020-05-13,179.75,44711490,182.55,184.05,176.54,MSFT
2020-05-12,182.51,32038200,186.8,187.04,182.3,MSFT
2020-05-11,186.74,30892660,183.15,187.51,182.85,MSFT
2020-05-08,184.68,30912640,184.98,185.0,183.36,MSFT
2020-05-07,183.6,28315990,184.17,184.55,182.58,MSFT
2020-05-06,182.54,32139300,182.08,184.2,181.6306,MSFT
2020-05-05,180.76,36839170,180.62,183.65,179.9,MSFT
2020-05-04,178.84,30372860,174.49,179.0,173.8,MSFT
2020-11-03,110.44,107624400,109.66,111.49,108.73,AAPL
2020-11-02,108.77,122866900,109.11,110.68,107.32,AAPL
2020-10-30,108.86,190573500,111.06,111.99,107.72,AAPL
2020-10-29,115.32,146129200,112.37,116.93,112.2,AAPL
2020-10-28,111.2,143937800,115.05,115.43,111.1,AAPL
2020-10-27,116.6,92276770,115.49,117.28,114.5399,AAPL
2020-10-26,115.05,111850700,114.01,116.55,112.88,AAPL
2020-10-23,115.04,82572650,116.39,116.55,114.28,AAPL
2020-10-22,115.75,101988000,117.45,118.04,114.59,AAPL
2020-10-21,116.87,89945980,116.67,118.705,116.45,AAPL
2020-10-20,117.51,124423700,116.2,118.98,115.63,AAPL
2020-10-19,115.98,120639300,119.96,120.419,115.66,AAPL
2020-10-16,119.02,115393800,121.28,121.548,118.81,AAPL
2020-10-15,120.71,112559200,118.72,121.2,118.15,AAPL
2020-10-14,121.19,151062300,121.0,123.03,119.62,AAPL
2020-10-13,121.1,262330500,125.27,125.39,119.65,AAPL
2020-10-12,124.4,240226800,120.06,125.18,119.2845,AAPL
2020-10-09,116.97,100506900,115.28,117.0,114.92,AAPL
2020-10-08,114.97,83477150,116.25,116.4,114.5901,AAPL
2020-10-07,115.08,96848990,114.62,115.55,114.13,AAPL
2020-10-06,113.16,161498200,115.7,116.12,112.25,AAPL
2020-10-05,116.5,106243800,113.91,116.65,113.55,AAPL
2020-10-02,113.02,144712000,112.89,115.37,112.22,AAPL
2020-10-01,116.79,116120400,117.64,117.72,115.83,AAPL
2020-09-30,115.81,142675200,113.79,117.26,113.62,AAPL
2020-09-29,114.09,100060500,114.55,115.31,113.57,AAPL
2020-09-28,114.96,137672400,115.01,115.32,112.78,AAPL
2020-09-25,112.28,149981400,108.43,112.44,107.67,AAPL
